publication_number,filing_date,cpc_code
KR-20160124733-A,20161021,G06Q30/06
US-10268985-B1,20160104,G06Q30/06
KR-101860364-B1,20161125,G06Q30/06
KR-101860364-B1,20161125,G06Q30/06
JP-WO2017203630-A1,20160525,G06Q30/06
KR-20180006691-A,20160711,G06Q30/06
US-2017010247-A1,20160921,G06Q30/06
US-2016364744-A1,20160824,G06Q30/06
US-2017091775-A1,20161018,G06Q30/06
KR-20180004338-A,20160614,G06Q30/06
KR-20180004338-A,20160614,G06Q30/06
KR-101840105-B1,20160107,G06Q30/06
WO-2017082549-A1,20161020,G06Q30/06
US-10158541-B2,20160630,G06Q30/06
US-10158541-B2,20160630,G06Q30/06
US-2016180309-A1,20160303,G06Q30/06
US-2016180309-A1,20160303,G06Q30/06
KR-20170092270-A,20160203,G06Q30/06
JP-WO2017115626-A1,20161207,G06Q30/06
RU-2016149603-A3,20161216,G06Q30/06
RU-2016149603-A3,20161216,G06Q30/06
TW-201723962-A,20161021,G06Q30/06
KR-20180038819-A,20161007,G06Q30/06
TW-201706942-A,20160525,G06Q30/06
KR-101963001-B1,20160126,G06Q30/06
US-2018107989-A1,20160422,G06Q30/06
KR-20170040065-A,20160114,G06Q30/06
KR-20170083389-A,20160108,G06Q30/06
US-2018192000-A1,20161230,G06Q30/06
US-2017154378-A1,20161003,G06Q30/06
KR-101779094-B1,20160106,G06Q30/06
KR-101756395-B1,20160120,G06Q30/06
KR-20170026264-A,20160826,G06Q30/06
KR-20170026264-A,20160826,G06Q30/06
US-2016292798-A1,20160427,G06Q30/06
JP-WO2017154169-A1,20160310,G06Q30/06
US-2016217454-A1,20160128,G06Q30/06
US-2017140351-A1,20161031,G06Q30/06
US-2016337195-A1,20160726,G06Q30/06
US-2016307244-A1,20160418,G06Q30/06
US-2018260905-A1,20160916,G06Q30/06
US-2017262933-A1,20160310,G06Q30/06
US-2018253788-A1,20161102,G06Q30/06
KR-101815295-B1,20161031,G06Q30/06
