publication_number,filing_date,citation_publication_number
US-2017013294-A1,20160922,US-9609037-B2
US-2017300898-A1,20160413,US-2017213210-A1
US-2017263101-A1,20170301,US-2016210602-A1
US-2018005185-A1,20160701,US-2017200218-A1
US-2018144216-A1,20170508,US-2018033066-A1
US-10571444-B2,20170427,US-2017103468-A1
US-2017140366-A1,20170131,US-2016275483-A1
US-2017140366-A1,20170131,US-2016275482-A1
US-2017140366-A1,20170131,US-2017076272-A1
US-2016253828-A1,20160112,US-2016253084-A1
US-10600065-B2,20161205,US-2017132650-A1
US-2017272123-A1,20160315,US-2017003846-A1
US-10536350-B2,20170929,US-2017315712-A1
US-10424140-B2,20170911,US-2017213210-A1
US-2019140896-A1,20171103,US-2018293587-A1
US-2018374371-A1,20170627,US-2016342690-A1
US-10397787-B2,20180913,US-2016248795-A1
US-2018158080-A1,20161202,US-2017178245-A1
US-10452748-B2,20161014,US-2016321278-A1
US-10504512-B1,20170922,US-2017068551-A1
US-2017039658-A1,20160802,US-2018025423-A1
KR-20190123383-A,20180424,KR-20170112332-A
US-10504060-B2,20181127,US-2016275390-A1
US-10504060-B2,20181127,US-2016292554-A1
US-10504060-B2,20181127,US-2016371576-A1
US-10504060-B2,20181127,US-9626610-B2
US-10504060-B2,20181127,US-9646237-B2
US-10504060-B2,20181127,US-9710743-B2
US-10530859-B1,20161128,US-2017103468-A1
US-10530859-B1,20161128,US-2018285879-A1
US-10599391-B2,20171106,US-2018308143-A1
US-10439913-B2,20160701,US-2016300201-A1
US-10509779-B2,20160914,US-9530137-B2
US-10560268-B2,20170213,US-2017103468-A1
US-2017220103-A1,20160129,US-2016210602-A1
US-2017094100-A1,20160809,US-2016380852-A1
US-2017250988-A1,20160225,US-2017213210-A1
US-2017161717-A1,20170224,US-9563890-B2
US-2017236334-A1,20160304,US-2016210602-A1
US-2018129952-A1,20161109,US-2018285879-A1
US-2017091476-A1,20160923,US-2017068238-A1
US-2018040072-A1,20161018,US-2017091851-A1
